"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",16,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0266307543892731
"fpt1",16,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0268539092663323
"fpt2",16,2,1000,100,19,"vcm","3",3,NA,"lm_forest",0.0265319495141282
"grad",16,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0318141228062254
"fpt1",16,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0305526037924063
"fpt2",16,2,1000,100,20,"vcm","3",3,NA,"lm_forest",0.0297779357749333
"grad",16,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0253727333877736
"fpt1",16,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0258506089565274
"fpt2",16,2,1000,100,21,"vcm","3",3,NA,"lm_forest",0.0257346791080986
"grad",16,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0317507181156097
"fpt1",16,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0313717896825353
"fpt2",16,2,1000,100,22,"vcm","3",3,NA,"lm_forest",0.0296775106392331
"grad",16,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0174847629218413
"fpt1",16,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0179257975245469
"fpt2",16,2,1000,100,23,"vcm","3",3,NA,"lm_forest",0.0179480158642266
"grad",16,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0261379836240043
"fpt1",16,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0258785204253028
"fpt2",16,2,1000,100,24,"vcm","3",3,NA,"lm_forest",0.0263726309812692
"grad",16,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.0250665624776708
"fpt1",16,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.025089126280174
"fpt2",16,2,1000,100,25,"vcm","3",3,NA,"lm_forest",0.0241276245757209
"grad",16,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0220314026412291
"fpt1",16,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0229964259994462
"fpt2",16,2,1000,100,26,"vcm","3",3,NA,"lm_forest",0.0221098978438453
"grad",16,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.0319602427842336
"fpt1",16,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.0316787205479139
"fpt2",16,2,1000,100,27,"vcm","3",3,NA,"lm_forest",0.03059071203333
"grad",16,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.0320296732119158
"fpt1",16,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.0319017565472542
"fpt2",16,2,1000,100,28,"vcm","3",3,NA,"lm_forest",0.03160363970959
"grad",16,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0267060382751056
"fpt1",16,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0268868034403123
"fpt2",16,2,1000,100,29,"vcm","3",3,NA,"lm_forest",0.0253302258604228
"grad",16,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0309194400162937
"fpt1",16,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0305334095848878
"fpt2",16,2,1000,100,30,"vcm","3",3,NA,"lm_forest",0.0298521627031455
"grad",16,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.0253210899022095
"fpt1",16,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.0254201855775851
"fpt2",16,2,1000,100,31,"vcm","3",3,NA,"lm_forest",0.0241253045500802
"grad",16,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.0203015279671415
"fpt1",16,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.0207728586743378
"fpt2",16,2,1000,100,32,"vcm","3",3,NA,"lm_forest",0.0205988978227651
"grad",16,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0292304272335284
"fpt1",16,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0295990215453422
"fpt2",16,2,1000,100,33,"vcm","3",3,NA,"lm_forest",0.0276921568842703
"grad",16,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.0237075672909345
"fpt1",16,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.0233951334250599
"fpt2",16,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.023002071417321
"grad",16,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0253863202671063
"fpt1",16,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0243986814099411
"fpt2",16,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0245919718867667
"grad",16,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0209095246953481
"fpt1",16,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0212234090285283
"fpt2",16,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0217911993764944
"grad",16,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0314525788641386
"fpt1",16,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0302890942783324
"fpt2",16,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0286493382113285
"grad",16,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0295593380360948
"fpt1",16,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0285393006197494
"fpt2",16,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0284553458372922
"grad",16,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0273287061925507
"fpt1",16,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.027174649256799
"fpt2",16,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0268482151696886
"grad",16,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0288614335174598
"fpt1",16,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0287943390874197
"fpt2",16,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0261257794088232
"grad",16,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0241940845542058
"fpt1",16,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0245668176897037
"fpt2",16,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.022928650534479
"grad",16,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0296279158287259
"fpt1",16,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0304803354915747
"fpt2",16,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0298309396283721
"grad",16,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0308579405069578
"fpt1",16,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0294807826496974
"fpt2",16,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0267368500810579
"grad",16,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0320763576428541
"fpt1",16,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0314656715349121
"fpt2",16,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0290236494508572
"grad",16,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0239401504648462
"fpt1",16,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0235227868815931
"fpt2",16,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0227880609647546
"grad",16,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.029287754872292
"fpt1",16,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.0276268647658204
"fpt2",16,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.028226693759272
"grad",16,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0208896600315192
"fpt1",16,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0208531822745955
