"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta2",0.0150928540524728
"FPT",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta3",0.0140138799418264
"FPT",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta4",0.0101953321811973
"grad",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta1",0.00973808479311882
"grad",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta2",0.0123688905374964
"grad",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta3",0.0151932046292543
"grad",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta4",0.0131490129899303
"FPT",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta1",0.00980386240757109
"FPT",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta2",0.0117924002140725
"FPT",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta3",0.0148467720340341
"FPT",4,5,20000,100,32,"vcm","4",4,NA,"lm_forest","theta4",0.0128147125295774
"grad",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta1",0.0104574639620885
"grad",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta2",0.011717055951851
"grad",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta3",0.0124118313036271
"grad",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta4",0.00991455357342625
"FPT",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta1",0.0103964489659819
"FPT",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta2",0.0113250173288994
"FPT",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta3",0.0123168710110928
"FPT",4,5,20000,100,33,"vcm","4",4,NA,"lm_forest","theta4",0.0101253741209382
"grad",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta1",0.0119248578018338
"grad",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta2",0.0134419726441675
"grad",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta3",0.0145261570859593
"grad",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta4",0.0126802182953549
"FPT",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta1",0.0119616378048389
"FPT",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta2",0.0128952231171398
