"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0170362873676911
"grad",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00887413219974987
"grad",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0066019318717697
"grad",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00902964167242853
"FPT",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00856544375437338
"FPT",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00624765491437902
"FPT",4,5,20000,100,32,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00857910266731212
"grad",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0101726936287389
"grad",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0148044934010842
"grad",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.010834116531396
"FPT",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00999825818610077
"FPT",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0132866725991254
"FPT",4,5,20000,100,33,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0104484723789537
"grad",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0104705936933208
"grad",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00826759093243335
"grad",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00946140280463322
"FPT",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00952841688623604
"FPT",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00807289184640902
"FPT",4,5,20000,100,34,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00918844842307225
"grad",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00985860894830943
"grad",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0135478231234744
"grad",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.010495993930479
"FPT",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0118168960374789
"FPT",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0140530190265974
"FPT",4,5,20000,100,35,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0118045988904731
"grad",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0101721758766246
"grad",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00979454936853594
"grad",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0126159621825974
"FPT",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0108426879645139
"FPT",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0107271705808676
"FPT",4,5,20000,100,36,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0116237669602482
"grad",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0117867116972176
"grad",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0143297159240509
"grad",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00846355797536045
"FPT",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0130041673003713
"FPT",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0142196400858902
"FPT",4,5,20000,100,37,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00904763901771328
"grad",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0144019953085973
"grad",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0130011228372963
"grad",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0120496341529109
"FPT",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0154587399970193
"FPT",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0132511751768654
"FPT",4,5,20000,100,38,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.011185709808757
"grad",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0202241113136397
"grad",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0154986535474421
"grad",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0105388123249919
"FPT",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0188100080662931
"FPT",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0133453526509536
"FPT",4,5,20000,100,39,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0105116763093892
"grad",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0234961040953867
"grad",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0134889407266324
"grad",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0136948178052666
"FPT",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0201016226823224
"FPT",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0122204877305104
"FPT",4,5,20000,100,40,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0138570780873418
"grad",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00871239938151322
"grad",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0113475376941806
"grad",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00814661319123209
