"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"fpt1",256,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0338682530966251
"fpt2",256,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0429750048186735
"grad",256,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.0434791934897715
"fpt1",256,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.0382807463135766
"fpt2",256,5,10000,100,19,"vcm","2",2,NA,"lm_forest",0.0446185570768696
"grad",256,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.039406205713934
"fpt1",256,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.036021980456925
"fpt2",256,5,10000,100,20,"vcm","2",2,NA,"lm_forest",0.0448178247317317
"grad",256,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0459799865251356
"fpt1",256,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0428429294819826
"fpt2",256,5,10000,100,21,"vcm","2",2,NA,"lm_forest",0.0533732267168193
"grad",256,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.0451088471035454
"fpt1",256,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.0397208364895749
"fpt2",256,5,10000,100,22,"vcm","2",2,NA,"lm_forest",0.0505955582855839
"grad",256,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.040671616950347
"fpt1",256,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.0373022834338745
"fpt2",256,5,10000,100,23,"vcm","2",2,NA,"lm_forest",0.0439082817309393
"grad",256,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0419190506947181
"fpt1",256,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0381180588693723
"fpt2",256,5,10000,100,24,"vcm","2",2,NA,"lm_forest",0.0455231673737488
"grad",256,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.0433170001414241
"fpt1",256,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.04111961288943
"fpt2",256,5,10000,100,25,"vcm","2",2,NA,"lm_forest",0.0495981240611583
"grad",256,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.0405515400476096
"fpt1",256,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.036821185058799
"fpt2",256,5,10000,100,26,"vcm","2",2,NA,"lm_forest",0.040832335154837
"grad",256,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0455455118504462
"fpt1",256,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0416039008891126
"fpt2",256,5,10000,100,27,"vcm","2",2,NA,"lm_forest",0.0481419387542575
"grad",256,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.0451065948168146
"fpt1",256,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.0410844927304141
"fpt2",256,5,10000,100,28,"vcm","2",2,NA,"lm_forest",0.0529678978587747
"grad",256,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.0473823325962194
"fpt1",256,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.042789147323
"fpt2",256,5,10000,100,29,"vcm","2",2,NA,"lm_forest",0.0545141984744968
"grad",256,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.0403338724888857
"fpt1",256,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.0373184085477215
"fpt2",256,5,10000,100,30,"vcm","2",2,NA,"lm_forest",0.0441411657896828
"grad",256,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0419391548176238
"fpt1",256,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0392821380227256
"fpt2",256,5,10000,100,31,"vcm","2",2,NA,"lm_forest",0.0494568447333157
"grad",256,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0412423488958803
"fpt1",256,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0383658016446472
"fpt2",256,5,10000,100,32,"vcm","2",2,NA,"lm_forest",0.0448774908827473
"grad",256,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0364458050114918
"fpt1",256,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0343287844661805
"fpt2",256,5,10000,100,33,"vcm","2",2,NA,"lm_forest",0.0423302469263538
"grad",256,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0414774407642992
"fpt1",256,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0377924655856224
"fpt2",256,5,10000,100,34,"vcm","2",2,NA,"lm_forest",0.0472340910759427
"grad",256,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.0458631070772211
"fpt1",256,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.0412105172447839
"fpt2",256,5,10000,100,35,"vcm","2",2,NA,"lm_forest",0.0520484394312791
"grad",256,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.0407489929867759
"fpt1",256,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.0365492896629246
"fpt2",256,5,10000,100,36,"vcm","2",2,NA,"lm_forest",0.0459936751426731
"grad",256,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.0390587548412878
"fpt1",256,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.0362844322131895
"fpt2",256,5,10000,100,37,"vcm","2",2,NA,"lm_forest",0.0426963826148645
"grad",256,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.043497157511278
"fpt1",256,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.0396247389252105
"fpt2",256,5,10000,100,38,"vcm","2",2,NA,"lm_forest",0.0482716051104732
"grad",256,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0436176755505389
"fpt1",256,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0397911652302329
"fpt2",256,5,10000,100,39,"vcm","2",2,NA,"lm_forest",0.0457848316009378
"grad",256,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0408121167873093
"fpt1",256,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0365902297676912
"fpt2",256,5,10000,100,40,"vcm","2",2,NA,"lm_forest",0.0436610149308106
"grad",256,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0476720294282471
"fpt1",256,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0441834532023832
"fpt2",256,5,10000,100,41,"vcm","2",2,NA,"lm_forest",0.0566290348797248
"grad",256,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0432870186808426
"fpt1",256,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0409166519055506
"fpt2",256,5,10000,100,42,"vcm","2",2,NA,"lm_forest",0.0504521029824831
"grad",256,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.0450884644642413
"fpt1",256,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.0431974842413528
"fpt2",256,5,10000,100,43,"vcm","2",2,NA,"lm_forest",0.0517325769503031
"grad",256,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.0360066173583278
"fpt1",256,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.0345115659785139
"fpt2",256,5,10000,100,44,"vcm","2",2,NA,"lm_forest",0.0417566091010013
"grad",256,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.042661294303394
"fpt1",256,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.0386770117369163
"fpt2",256,5,10000,100,45,"vcm","2",2,NA,"lm_forest",0.0463751992851072
"grad",256,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0430166389441228
"fpt1",256,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0401290184229355
"fpt2",256,5,10000,100,46,"vcm","2",2,NA,"lm_forest",0.0541013759455355
"grad",256,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0428830827351894
"fpt1",256,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0382030899307887
"fpt2",256,5,10000,100,47,"vcm","2",2,NA,"lm_forest",0.0458609834024742
"grad",256,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0494380539233774
"fpt1",256,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0453816758852162
"fpt2",256,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0611157705128318
"grad",256,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.0469254676990383
"fpt1",256,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.0400335975966326
"fpt2",256,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.0501656958438053
"grad",256,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0500187479496584
"fpt1",256,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0436512312061316
"fpt2",256,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0535750863270967
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",0.00894180775524249
"fpt1",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",0.00883496335375684
"fpt2",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",0.00866813245816977
"grad",4,5,20000,100,2,"vcm","2",2,NA,"lm_forest",0.0110453719294969
"fpt1",4,5,20000,100,2,"vcm","2",2,NA,"lm_forest",0.0111121318610751
"fpt2",4,5,20000,100,2,"vcm","2",2,NA,"lm_forest",0.0107763302023413
"grad",4,5,20000,100,3,"vcm","2",2,NA,"lm_forest",0.0110152540092858
"fpt1",4,5,20000,100,3,"vcm","2",2,NA,"lm_forest",0.0110617726914482
"fpt2",4,5,20000,100,3,"vcm","2",2,NA,"lm_forest",0.0109091333850774
"grad",4,5,20000,100,4,"vcm","2",2,NA,"lm_forest",0.0114535157404176
"fpt1",4,5,20000,100,4,"vcm","2",2,NA,"lm_forest",0.0113968740431103
"fpt2",4,5,20000,100,4,"vcm","2",2,NA,"lm_forest",0.0113876566963893
